1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
24,12,14,22,22,22,10,5,64,0,1019,21,10,209,6,45
24,12,14,20,20,20,10,7,72,0,1020,19,10,246,5,46
24,12,14,19,19,19,12,9,71,0,1020,19,10,273,6,47
24,12,14,19,19,19,14,11,70,0,1021,19,10,299,7,48
24,12,13,19,19,19,16,13,69,0,1021,18,10,325,8,50
24,12,13,19,19,19,15,10,70,0,1021,18,10,332,7,53
24,12,14,19,19,19,14,7,71,0,1021,18,10,338,7,55
25,16,14,19,19,19,14,4,72,0,1022,18,10,345,7,60
25,16,14,19,19,19,15,3,74,0,1021,18,10,234,7,59
25,16,14,19,19,19,15,1,76,0,1021,17,10,122,8,56
25,16,15,19,19,19,16,0,77,0,1021,17,10,11,8,51
25,16,15,18,18,18,17,0,80,0,1021,17,10,124,8,47
25,16,15,18,18,18,17,0,82,0,1021,17,10,236,9,42
25,16,15,18,18,18,17,0,84,0,1022,16,10,349,9,37
25,16,15,19,20,19,16,0,77,0,1022,18,10,246,10,34
25,16,15,21,22,21,15,0,69,0,1022,21,10,143,11,32
25,16,15,25,25,23,14,0,62,0,1023,23,10,40,12,31
25,16,15,25,25,24,12,1,59,0,1022,23,10,44,11,31
25,16,15,26,26,25,11,3,56,0,1022,24,10,48,10,33
25,16,15,27,27,26,10,4,53,0,1022,25,10,52,9,35
25,16,15,26,26,25,14,4,54,0,1021,25,10,57,12,37
25,16,15,26,26,25,18,3,55,0,1021,25,10,62,15,41
25,16,15,26,26,25,22,3,55,0,1021,25,10,67,18,46
25,16,16,25,25,24,21,3,62,0,1021,24,10,63,15,48
25,16,16,25,25,22,20,3,69,0,1022,22,10,59,13,51
25,16,17,21,24,21,20,3,75,0,1022,21,10,54,10,53
25,16,17,21,24,21,23,6,75,0,1022,21,10,59,12,55
25,16,17,21,24,21,26,9,75,0,1022,21,10,63,14,56
25,16,17,21,24,21,30,11,75,0,1023,21,10,68,15,57
25,16,17,21,23,21,28,16,77,0,1023,21,10,67,15,57
25,16,17,21,22,21,26,21,79,0,1023,21,10,67,14,58
27,21,17,21,21,21,25,26,81,0,1022,21,10,67,13,62
27,21,18,21,22,21,26,35,82,0,1022,21,10,70,13,59
27,21,18,21,23,21,27,44,83,0,1022,21,10,72,14,56
27,21,18,21,24,21,29,53,84,0,1022,21,10,74,15,52
27,21,19,21,24,21,27,44,85,0,1022,21,10,79,14,49
27,21,19,21,24,21,25,35,86,0,1022,21,10,83,13,44
27,21,19,21,24,21,24,26,86,0,1022,21,10,88,12,40
27,21,19,25,25,23,24,23,81,0,1023,23,10,94,14,37
27,21,19,26,26,24,24,21,75,0,1023,24,10,100,17,34
27,21,19,27,27,25,24,19,69,0,1023,25,10,106,20,33
27,21,19,27,27,26,23,20,68,0,1023,26,10,110,19,33
27,21,20,28,28,26,21,21,66,0,1023,26,10,114,18,33
27,21,20,28,28,27,19,22,65,0,1022,27,10,119,17,34
27,21,20,28,28,26,20,22,66,0,1022,26,10,115,17,37
27,21,20,28,28,26,21,22,68,0,1022,26,10,112,17,44
27,21,20,28,28,26,21,23,70,0,1021,26,10,108,17,51
27,21,20,27,27,25,18,20,77,0,1022,25,10,99,13,55
27,21,21,26,26,24,14,18,84,0,1022,23,10,89,9,60
27,21,21,25,25,23,10,16,91,0,1022,22,10,80,5,62
27,21,21,25,25,23,12,12,91,0,1023,22,10,80,7,64
27,21,21,25,25,23,15,8,90,0,1023,22,10,80,9,64
27,21,21,25,25,23,18,4,89,0,1023,22,10,80,10,62
27,21,21,25,25,23,17,6,90,0,1023,22,10,84,9,62
27,21,21,25,25,22,16,7,91,0,1023,22,10,89,9,64
27,21,21,22,25,22,15,9,91,0,1023,22,10,93,8,68
27,21,21,22,25,22,16,11,91,0,1023,22,10,92,8,68
27,21,21,22,25,22,16,13,91,0,1022,22,10,92,9,66
27,21,21,22,25,22,16,16,91,0,1022,22,10,91,9,63
27,21,20,22,24,22,15,15,92,0,1023,21,10,96,8,57
27,21,20,22,24,22,13,15,92,0,1023,21,10,102,7,50
27,21,20,21,24,21,12,15,93,0,1023,21,10,107,6,44
27,21,20,25,25,23,13,20,86,0,1023,22,10,110,8,40
27,21,20,26,26,24,14,25,79,0,1023,24,10,112,10,37
27,21,20,28,28,26,15,29,72,0,1023,26,10,114,12,36
27,21,20,28,28,26,15,31,71,0,1023,26,10,119,12,37
27,21,20,28,28,26,14,32,69,0,1023,26,10,124,12,41
27,21,20,29,29,27,14,34,67,0,1022,27,10,128,12,46
27,21,20,28,28,27,16,28,68,0,1022,27,10,124,13,45
27,21,20,28,28,26,18,22,69,0,1022,26,10,119,15,46
27,21,20,28,28,26,20,16,70,0,1022,26,10,115,16,52
27,21,21,27,27,25,15,11,75,0,1022,25,10,115,12,54
27,21,22,27,27,25,10,5,81,0,1023,24,10,115,8,58
